Index,Head Lines
Sonali Phogat's death mystery: Actress' net worth revealed,https://timesofindia.indiatimes.com/videos/entertainment/hindi/sonali-phogats-death-mystery-late-actress-turned-politicians-net-worth-will-blow-your-mind-deets-inside-/videoshow/93899840.cms, <---------- KEYWORD FOUND!
Jharkhand political crisis: Soren packs off 33 MLAs to Raipur,https://timesofindia.indiatimes.com/videos/toi-original/jharkhand-political-crisis-hemant-soren-packs-off-33-mlas-to-raipur/videoshow/93898023.cms, <---------- KEYWORD FOUND!
LSE courses & Univ of London degree at ISBF,https://timesofindia.indiatimes.com/spotlight/know-how-isbfs-world-class-education-and-an-international-degree-from-the-university-of-london-can-help-you-achieve-your-dreams/articleshow/93897727.cms, <---------- KEYWORD FOUND!
"Meet Orry, the guy who's painting the town red",https://timesofindia.indiatimes.com/articleshow/93898245.cms, <---------- KEYWORD FOUND!
"When problem is not with you, but with your doctor",https://timesofindia.indiatimes.com/india/were-not-crazy-were-sick-patients-open-up-about-medical-gaslighting/articleshow/93849895.cms, <---------- KEYWORD FOUND!
How Adani emerged the 3rd richest man in the world,https://timesofindia.indiatimes.com/business/india-business/how-adani-emerged-the-3rd-richest-man-in-the-world/articleshow/93887837.cms, <---------- KEYWORD FOUND!
The hidden symbolism behind how Lord Ganesha looks,https://timesofindia.indiatimes.com/india/the-hidden-symbolism-behind-how-lord-ganesha-looks/articleshow/93885275.cms, <---------- KEYWORD FOUND!
"2022 MG Gloster launched in India at Rs 31.99 lakh: Check price list, new features, ADAS and more",https://timesofindia.indiatimes.com/auto/cars/2022-mg-gloster-launched-in-india-at-rs-31-99-lakh-check-price-list-new-features-adas-and-more/articleshow/93897164.cms, <---------- KEYWORD FOUND!
"LNMU first merit list for BA, BSc and BCom Part 1 admissions 2022 released, check here",https://timesofindia.indiatimes.com/education/colleges/lnmu-first-merit-list-for-ba-bsc-and-bcom-part-1-admissions-2022-released-check-here/articleshow/93895210.cms, <---------- KEYWORD FOUND!
"Ranveer, Vicky celebrate Filmfare win with a victory dance",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/filmfare-awards-filmfare-awards-2022-67th-wolf777news-filmfare-awards-2022-vicky-kaushal-sara-ali-khan-kiara-advani-disha-patani-taapsee-pannu/liveblog/93880953.cms, <---------- KEYWORD FOUND!
Liger was sabotaged: Distributor Srinu,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/liger-was-sabotaged-says-distributor-srinu-after-incurring-a-heavy-loss-exclusive/articleshow/93900508.cms, <---------- KEYWORD FOUND!
'Cobra' movie review & release LIVE updates,https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/cobra-movie-review-box-office-collection-and-release-live-updates-vikram-srinidhi-shetty-irfan-pathan/liveblog/93891483.cms, <---------- KEYWORD FOUND!
Stunning saree looks to steal from Kajol,https://timesofindia.indiatimes.com/entertainment/hindi/web-stories/saree-looks-to-steal-from-kajol-this-festive-season/photostory/93898707.cms, <---------- KEYWORD FOUND!
Rakhi Sawant: I had a knot in my stomach - Exclusive,https://timesofindia.indiatimes.com/tv/news/hindi/rakhi-sawants-surgery-i-had-a-knot-in-my-stomach-a-little-above-the-uterus-exclusive/articleshow/93901103.cms, <---------- KEYWORD FOUND!
67th Filmfare Awards 2022: Candid pics,https://photogallery.indiatimes.com/awards/filmfare-awards/67th-wolf777news-filmfare-awards-2022/67th-wolf777news-filmfare-awards-2022-from-katrina-vicky-to-deepika-ranveer-candid-moments-from-the-starry-night/articleshow/93888872.cms, <---------- KEYWORD FOUND!
67th Filmfare Awards 2022: Performances,https://photogallery.indiatimes.com/awards/filmfare-awards/67th-wolf777news-filmfare-awards-2022/67th-wolf777news-filmfare-awards-2022-performances/articleshow/93887610.cms, <---------- KEYWORD FOUND!
Stylish looks from Filmfare Awards,https://photogallery.indiatimes.com/web-stories/best-red-carpet-looks-from-the-67th-wolf777news-filmfare-awards-2022/photostory/93898683.cms, <---------- KEYWORD FOUND!
67th Filmfare Awards 2022: Winner pics,https://photogallery.indiatimes.com/awards/filmfare-awards/67th-wolf777news-filmfare-awards-2022/67th-wolf777news-filmfare-awards-2022-winners/articleshow/93889809.cms, <---------- KEYWORD FOUND!
67th Filmfare Awards 2022: Red Carpet,https://photogallery.indiatimes.com/awards/filmfare-awards/67th-wolf777news-filmfare-awards-2022/67th-wolf777news-filmfare-awards-2022-from-malaika-arora-to-taapsee-pannu-celebs-slay-in-style-at-red-carpet/articleshow/93883732.cms, <---------- KEYWORD FOUND!
Hina Khan slays in stylish beachwear,https://photogallery.indiatimes.com/tv/stars/new-stunning-vacation-pictures-of-hina-khan-are-all-about-travel-goals/articleshow/79490438.cms, <---------- KEYWORD FOUND!
Wedding pics of Kunal and Arpita Mehta,https://photogallery.indiatimes.com/events/mumbai/these-wedding-pictures-of-kunal-rawal-and-arpita-mehta-are-straight-out-of-a-fairytale/articleshow/93879809.cms, <---------- KEYWORD FOUND!
Bikini-clad Sonnalli chills in the pool,https://photogallery.indiatimes.com/celebs/bollywood/these-vacation-pictures-of-sonnalli-seygall-prove-her-love-for-travelling/articleshow/83370614.cms, <---------- KEYWORD FOUND!
Urfi trolled for wearing chaandi vark,https://photogallery.indiatimes.com/tv/stars/urfi-javed-commands-attention-with-unconventional-outfits-bewitching-pictures-make-heads-turn/articleshow/71751079.cms, <---------- KEYWORD FOUND!
Rakhi Sawant calls Uorfi aka Urfi Javed her 'cheeli',https://timesofindia.indiatimes.com/videos/entertainment/hindi/rakhi-sawant-calls-uorfi-aka-urfi-javed-her-cheeli-says-urfi-ko-media-me-laane-waali-me-hu/videoshow/93897973.cms, <---------- KEYWORD FOUND!
Rakhi Sawant calls Uorfi aka Urfi Javed her 'cheeli',https://timesofindia.indiatimes.com/videos/entertainment/hindi/rakhi-sawant-calls-uorfi-aka-urfi-javed-her-cheeli-says-urfi-ko-media-me-laane-waali-me-hu/videoshow/93897973.cms, <---------- KEYWORD FOUND!
'Buddhi aurat'! Netizens humiliate Malaika Arora,https://timesofindia.indiatimes.com/videos/entertainment/hindi/viral-malaika-arora-dances-her-heart-out-on-gur-naal-ishq-mitha-in-this-video-from-kunal-rawals-pre-wedding-bash-gets-trolled/videoshow/93896820.cms, <---------- KEYWORD FOUND!
Kamaal R Khan gets hospitalized; NCW seeks action,https://timesofindia.indiatimes.com/videos/entertainment/hindi/kamaal-r-khan-gets-hospitalized-ncw-seeks-action-against-krk-for-making-derogatory-remarks-against-women/videoshow/93896564.cms, <---------- KEYWORD FOUND!
Goddess Kali 'smoking cigarette' poster row,https://timesofindia.indiatimes.com/videos/entertainment/hindi/goddess-kali-smoking-cigarette-poster-row-director-leena-manimekalai-gets-summoned-by-a-delhi-court/videoshow/93895980.cms, <---------- KEYWORD FOUND!
Too hot to handle! Sara wears a tank top and denim shorts,https://timesofindia.indiatimes.com/videos/entertainment/hindi/too-hot-to-handle-sara-ali-khan-wears-a-white-tank-top-and-denim-shorts-raises-mercury-with-her-latest-look/videoshow/93893677.cms, <---------- KEYWORD FOUND!
"Kriti Sanon, Mouni Roy and Sai Tamhankar get candid",https://timesofindia.indiatimes.com/videos/entertainment/hindi/67th-wolf777news-filmfare-awards-2022-kriti-sanon-mouni-roy-and-sai-tamhankar-get-candid-on-red-carpet/videoshow/93888786.cms, <---------- KEYWORD FOUND!
"Police and people make Kolkata ‘safest’, say women residents",https://timesofindia.indiatimes.com/city/kolkata/police-and-people-make-kolkata-safest-say-women-residents/articleshow/93896078.cms, <---------- KEYWORD FOUND!
Omicron BA.4 & BA.5: How long does it take for symptoms to appear?,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-after-exposure-to-omicron-ba-4-and-ba-5-how-long-does-it-take-for-covid-symptoms-to-appear/photostory/93897264.cms, <---------- KEYWORD FOUND!
COVID symptoms lasting the longest and shortest,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/which-covid-symptoms-are-lasting-the-longest-and-shortest-right-now-heres-what-experts-say/photostory/93875020.cms, <---------- KEYWORD FOUND!
How to differentiate swine flu from COVID,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/as-swine-flu-cases-increase-in-india-know-how-to-differentiate-it-from-covid/photostory/93857506.cms, <---------- KEYWORD FOUND!
Latest Omicron BA.5 symptoms seem to have changed,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-experts-say-latest-omicron-ba-5-symptoms-seem-to-have-changed/photostory/93821736.cms, <---------- KEYWORD FOUND!
WHO Chief on 1 million COVID deaths; Key points,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-we-have-crossed-the-tragic-milestone-of-1-million-reported-deaths-who-chief-key-points/photostory/93796556.cms, <---------- KEYWORD FOUND!
How soon can you get reinfected with Omicron BA.5?,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-how-soon-can-you-get-reinfected-with-omicron-ba-5-mind-you-its-not-even-a-few-months/photostory/93774910.cms, <---------- KEYWORD FOUND!
How to use sound to heal yourself,https://timesofindia.indiatimes.com/life-style/health-fitness/home-remedies/how-to-use-sound-to-heal-yourself/articleshow/93899053.cms, <---------- KEYWORD FOUND!
Designer Elizabeth Emanuel remembers Diana,https://timesofindia.indiatimes.com/life-style/fashion/designers/more-than-an-icon-designer-elizabeth-emanuel-remembers-diana/articleshow/93901646.cms, <---------- KEYWORD FOUND!
Better to be single than miserable in wrong relationship,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/being-single-i-would-rather-be-single-and-happy-than-miserable-in-the-wrong-relationship/articleshow/93899096.cms, <---------- KEYWORD FOUND!
All you need to know about the Microbotox technique,https://timesofindia.indiatimes.com/life-style/beauty/all-you-need-to-know-about-the-microbotox-technique/articleshow/93874464.cms, <---------- KEYWORD FOUND!
Reality check: Do parents love all their kids equally?,https://timesofindia.indiatimes.com/life-style/parenting/moments/reality-check-do-parents-love-all-their-kids-equally/photostory/93899802.cms, <---------- KEYWORD FOUND!
Kiara Advani's favourite Street-Style Matar Kulcha Recipe,https://recipes.timesofindia.com/web-stories/kiara-advanis-favourite-street-style-matar-kulcha-recipe/photostory/93900171.cms, <---------- KEYWORD FOUND!
Wedding destinations that are just perfect for September,https://timesofindia.indiatimes.com/travel/web-stories/wedding-destinations-that-are-just-perfect-for-september/photostory/93901396.cms, <---------- KEYWORD FOUND!
Karnataka's Divita Rai crowned LIVA Miss Diva 2022,https://beautypageants.indiatimes.com/miss-diva/karnatakas-divita-rai-crowned-liva-miss-diva-2022/articleshow/93839613.cms?utm_source=TOInewHP_TILwidget&utm_medium=referral&utm_campaign=TOInewHP, <---------- KEYWORD FOUND!
Jharkhand political crisis: Soren packs off 33 MLAs to Raipur,https://timesofindia.indiatimes.com/videos/toi-original/jharkhand-political-crisis-hemant-soren-packs-off-33-mlas-to-raipur/videoshow/93898023.cms, <---------- KEYWORD FOUND!
Jharkhand political crisis: Soren packs off 33 MLAs to Raipur,https://timesofindia.indiatimes.com/videos/toi-original/jharkhand-political-crisis-hemant-soren-packs-off-33-mlas-to-raipur/videoshow/93898023.cms, <---------- KEYWORD FOUND!
Suspended Jharkhand BJP leader Seema Patra arrested,https://timesofindia.indiatimes.com/videos/news/jharkhand-accused-of-torturing-tribal-domestic-help-suspended-bjp-leader-seema-patra-arrested/videoshow/93895446.cms, <---------- KEYWORD FOUND!
'Buddhi aurat'! Netizens humiliate Malaika Arora for this video,https://timesofindia.indiatimes.com/videos/entertainment/hindi/viral-malaika-arora-dances-her-heart-out-on-gur-naal-ishq-mitha-in-this-video-from-kunal-rawals-pre-wedding-bash-gets-trolled/videoshow/93896820.cms, <---------- KEYWORD FOUND!
Devotees camp on footpath for darshan of Lalbaugcha Raja,https://timesofindia.indiatimes.com/videos/toi-original/devotees-camp-on-footpath-for-first-darshan-of-lalbaugcha-raja/videoshow/93888640.cms, <---------- KEYWORD FOUND!
"Ranveer Singh kisses Deepika Padukone, actress blushes",https://timesofindia.indiatimes.com/videos/entertainment/hindi/viral-alert-ranveer-singh-gives-wife-deepika-padukone-a-peck-on-her-cheek-after-getting-filmfare-award-for-the-best-actor/videoshow/93899116.cms, <---------- KEYWORD FOUND!
Rakhi Sawant calls Urfi Javed her 'cheeli',https://timesofindia.indiatimes.com/videos/entertainment/hindi/rakhi-sawant-calls-uorfi-aka-urfi-javed-her-cheeli-says-urfi-ko-media-me-laane-waali-me-hu/videoshow/93897973.cms, <---------- KEYWORD FOUND!
"67th Filmfare Awards 2022: Ranveer, Kriti bag top honours",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/67th-wolf777news-filmfare-awards-2022-complete-winners-list/articleshow/93886545.cms, <---------- KEYWORD FOUND!
10 photos that prove Yami Gautam is a fashion trendsetter,https://timesofindia.indiatimes.com/entertainment/hindi/web-stories/10-photos-that-prove-yami-gautam-is-a-fashion-trendsetter/photostory/93873883.cms, <---------- KEYWORD FOUND!
#BoycottBrahmastra trends on Twitter,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/boycottbrahmastra-trends-on-twitter-after-netizens-dig-out-a-decade-old-interview-of-ranbir-kapoor-saying-he-loves-beef/articleshow/93830704.cms, <---------- KEYWORD FOUND!
67th Filmfare Awards: Who won what,https://timesofindia.indiatimes.com/entertainment/hindi/web-stories/67th-filmfare-awards-who-won-what/photostory/93890405.cms, <---------- KEYWORD FOUND!
Jasmin on receiving 'death threats' post BB,https://timesofindia.indiatimes.com/tv/news/hindi/jasmin-bhasin-reveals-death-and-rape-threats-post-bigg-boss-made-her-seek-medical-help/articleshow/93898189.cms, <---------- KEYWORD FOUND!
When Mouni Roy rocked plunging necklines,https://timesofindia.indiatimes.com/tv/web-stories/hindi/9-times-mouni-roy-rocked-a-plunging-neckline-dress/photostory/93897585.cms, <---------- KEYWORD FOUND!
Rakhi clarifies Adil is not marrying ex-gf,https://timesofindia.indiatimes.com/tv/news/hindi/rakhi-sawant-goes-live-from-hospital-after-surgery-to-clarify-rumours-about-adil-marrying-ex-girlfriend-says-she-does-drugs-and-daaru/articleshow/93896957.cms, <---------- KEYWORD FOUND!
"Pregnant Debina lifts weights, does squats",https://timesofindia.indiatimes.com/tv/news/hindi/pregnant-debina-bonnerjee-lifts-weights-does-squats-in-second-trimester-netizens-call-her-a-super-mom/articleshow/93893746.cms, <---------- KEYWORD FOUND!
Celeb-approved ethnic wear for Ganesh Chaturthi,https://timesofindia.indiatimes.com/entertainment/marathi/web-stories/madhuri-dixit-nene-to-amruta-khanvilkar-celeb-approved-ethnic-wear-for-ganesh-chaturthi/photostory/93888406.cms, <---------- KEYWORD FOUND!
10 times Rashmika turned dreamy Bengali bride,https://timesofindia.indiatimes.com/entertainment/bengali/web-stories/10-times-rashmika-mandanna-turned-dreamy-bengali-bride/photostory/93793258.cms, <---------- KEYWORD FOUND!
6 times Tollywood remade South Korean films,https://timesofindia.indiatimes.com/entertainment/telugu/web-stories/6-times-tollywood-remade-south-korean-films/photostory/93820442.cms, <---------- KEYWORD FOUND!
Childhood pictures of Keerthy Suresh,https://timesofindia.indiatimes.com/entertainment/malayalam/web-stories/childhood-pictures-of-keerthy-suresh/photostory/93855020.cms, <---------- KEYWORD FOUND!
"Best tote bags for women: Branded tote bags from Lavie, Lino Perros, Caprese, Van Heusen, Daily Objects & more",https://timesofindia.indiatimes.com/most-searched-products/fashion/accessories/best-tote-bags-for-women-branded-tote-bags-from-lavie-lino-perros-caprese-van-heusen-daily-objects-more/articleshow/93477967.cms?utm_source=toi-homepage&utm_medium=web-shopping-destination&utm_campaign=msp-shopping, <---------- KEYWORD FOUND!
Laptops under 20000: Best picks for students & personal needs,https://timesofindia.indiatimes.com/most-searched-products/electronics/laptops/laptops-under-20000-best-picks-for-students-personal-needs/articleshow/93881930.cms?utm_source=toi-homepage&utm_medium=web-shopping-destination&utm_campaign=msp-shopping, <---------- KEYWORD FOUND!
8 Kg Washing Machines: Best Options For Large Families,https://timesofindia.indiatimes.com/most-searched-products/electronics/washing-machine/fully-automatic-washing-machines-with-8kg-capacity-ideal-for-medium-sized-families/articleshow/76813295.cms?utm_source=toi-homepage&utm_medium=web-shopping-destination&utm_campaign=msp-shopping, <---------- KEYWORD FOUND!
"Best watches under 5000: Branded watches from French Connection, Fastrack, Puma, Fossil, Timex & more",https://timesofindia.indiatimes.com/most-searched-products/fashion/accessories/best-watches-under-5000-branded-watches-from-french-connection-fastrack-puma-fossil-timex-more/articleshow/93181809.cms?utm_source=toi-homepage&utm_medium=web-shopping-destination&utm_campaign=msp-shopping, <---------- KEYWORD FOUND!
Best Electric Kettles For All Instant Coffee And Tea Lovers,https://timesofindia.indiatimes.com/most-searched-products/kitchen-and-dining/small-appliances/top-rated-electric-kettles-from-orpat-pigeon-and-other-brands/articleshow/70343773.cms?utm_source=toi-homepage&utm_medium=web-shopping-destination&utm_campaign=msp-shopping, <---------- KEYWORD FOUND!
"Tablets under 10,000: From brands like Lenovo, Panasonic, and more",https://timesofindia.indiatimes.com/most-searched-products/electronics/tablets/tablets-under-10000-from-brands-like-lenovo-panasonic-and-more/articleshow/92595579.cms?utm_source=toi-homepage&utm_medium=web-shopping-destination&utm_campaign=msp-shopping, <---------- KEYWORD FOUND!
"Best Refrigerators under 20000: Top picks from LG, Samsung, Haier, Whirlpool & more",https://timesofindia.indiatimes.com/most-searched-products/electronics/refrigerators/refrigerators-under-20000-top-choices-from-lg-samsung-haier-whirlpool-and-many-others/articleshow/86991884.cms?utm_source=toi-homepage&utm_medium=web-shopping-destination&utm_campaign=msp-shopping, <---------- KEYWORD FOUND!
4K Memory Cards To Record And Save Videos Of High Resolution,https://timesofindia.indiatimes.com/most-searched-products/electronics/data-storage/4k-memory-cards-to-record-and-save-videos-of-high-resolution/articleshow/81112160.cms?utm_source=toi-homepage&utm_medium=web-shopping-destination&utm_campaign=msp-shopping, <---------- KEYWORD FOUND!
"Asia Cup: Ravindra Jadeja, the buffer for rusty top-order",https://timesofindia.indiatimes.com/sports/cricket/asia-cup/asia-cup-2022-india-vs-hong-kong-ravindra-jadeja-the-buffer-for-rusty-top-order/articleshow/93892326.cms, <---------- KEYWORD FOUND!
Asia Cup: How India and Pakistan have fared at the tournament,https://timesofindia.indiatimes.com/videos/sports/cricket/asia-cup-how-india-and-pakistan-have-fared-at-the-tournament/videoshow/93881033.cms, <---------- KEYWORD FOUND!
Asia Cup 2022: India beat Pakistan by 5 wickets,https://timesofindia.indiatimes.com/videos/sports/cricket/asia-cup-2022-india-beat-pakistan-by-5-wickets/videoshow/93844736.cms, <---------- KEYWORD FOUND!
Rafael Nadal overcomes scare to reach US Open second round,https://timesofindia.indiatimes.com/sports/tennis/us-open/rafael-nadal-overcomes-scare-to-reach-us-open-second-round/articleshow/93893958.cms, <---------- KEYWORD FOUND!
It won't take too long for Kohli to be back in form: Kapil Dev,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/it-wont-take-too-long-for-virat-kohli-to-be-back-in-form-kapil-dev/articleshow/93894725.cms, <---------- KEYWORD FOUND!
Indian fan who played prank in Pak jersey at Dubai match gets threats,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/indian-fan-who-played-prank-in-pakistani-jersey-at-dubai-match-gets-threats-back-home-in-ups-bareilly/city/bareilly/indian-fan-who-played-prank-in-pakistani-jersey-at-dubai-match-gets-threats-back-home-in-ups-bareilly/articleshow/93887014.cms, <---------- KEYWORD FOUND!
"Stuttering Chelsea beaten at Southampton, Leeds hold Everton",https://timesofindia.indiatimes.com/sports/football/epl/top-stories/stuttering-chelsea-beaten-at-southampton-leeds-united-hold-everton-to-a-draw/articleshow/93893704.cms, <---------- KEYWORD FOUND!
"Japan Open: Srikanth wins, Lakshya and Saina exit",https://timesofindia.indiatimes.com/sports/badminton/lakshya-sen-makes-second-round-exit-from-japan-open/articleshow/93895433.cms, <---------- KEYWORD FOUND!
Starc and Zampa help Australia steamroll Zimbabwe in 2nd ODI,https://timesofindia.indiatimes.com/sports/cricket/news/mitchell-starc-and-adam-zampa-help-australia-steamroll-zimbabwe-in-second-odi/articleshow/93895205.cms, <---------- KEYWORD FOUND!
My father was upset at me taking up javelin throw: Annu Rani,https://timesofindia.indiatimes.com/sports/more-sports/athletics/my-father-was-upset-at-me-taking-up-javelin-throw-annu-rani/articleshow/93893853.cms, <---------- KEYWORD FOUND!
"Asia Cup: Spinners, Najibullah Zadran take Afghanistan to Super 4s",https://timesofindia.indiatimes.com/sports/cricket/asia-cup/asia-cup-2022-bangladesh-vs-afghanistan-highlights-spinners-najibullah-zadran-take-afghanistan-to-super-4s/articleshow/93888255.cms, <---------- KEYWORD FOUND!
Maruti very important part of Suzuki Japan: RC Bhargava,https://timesofindia.indiatimes.com/business/india-business/maruti-very-important-part-of-suzuki-japan-organisational-changes-in-offing-rc-bhargava/articleshow/93900178.cms, <---------- KEYWORD FOUND!
Akash Ambani announces launch of Jio Air Fibre device for homes,https://timesofindia.indiatimes.com/videos/business/akash-ambani-announces-launch-of-jio-air-fibre-device-for-homes/videoshow/93862850.cms, <---------- KEYWORD FOUND!
"Reliance AGM 2022: Jio Mart no. 1 trusted brand in India, says Isha Ambani",https://timesofindia.indiatimes.com/videos/business/reliance-agm-2022-jio-mart-no-1-trusted-brand-in-india-says-isha-ambani/videoshow/93854246.cms, <---------- KEYWORD FOUND!
Markets rally: Investors richer by Rs 5.68 lakh crore,https://timesofindia.indiatimes.com/business/india-business/markets-rally-investors-richer-by-rs-5-68-lakh-crore/articleshow/93884934.cms, <---------- KEYWORD FOUND!
Disney Star signs licensing agreement with Zee for ICC TV rights,https://timesofindia.indiatimes.com/business/india-business/disney-star-signs-licensing-agreement-with-zee-for-icc-tv-rights/articleshow/93885561.cms, <---------- KEYWORD FOUND!
'Burning with pain': Pakistan floods threaten major health crisis,https://timesofindia.indiatimes.com/world/pakistan/burning-with-pain-pakistan-floods-threaten-major-health-crisis/articleshow/93898500.cms, <---------- KEYWORD FOUND!
"LNMU first merit list for BA, BSc and BCom Part 1 admissions 2022 released, check here",https://timesofindia.indiatimes.com/education/colleges/lnmu-first-merit-list-for-ba-bsc-and-bcom-part-1-admissions-2022-released-check-here/articleshow/93895210.cms, <---------- KEYWORD FOUND!
Ganesh Chaturthi Bhog: Churma Laddoo Recipe,https://recipes.timesofindia.com/web-stories/ganesh-chaturthi-bhog-churma-laddoo-recipe/photostory/93871188.cms, <---------- KEYWORD FOUND!
Watch: How to make Makhana Panjiri & Panchamrit,https://recipes.timesofindia.com/videos/watch-how-to-make-makhana-panjiri-panchamrit/videoshow/93646055.cms, <---------- KEYWORD FOUND!
Viral Alert: Food news that ruled the internet this week (Aug 8- Aug 14),https://recipes.timesofindia.com/videos/viral-alert-food-news-that-ruled-the-internet-this-week-aug-8-aug-14/videoshow/93601339.cms, <---------- KEYWORD FOUND!
Watch: How to make Parwal Ki Mithai,https://recipes.timesofindia.com/videos/watch-how-to-make-parwal-ki-mithai/videoshow/93578926.cms, <---------- KEYWORD FOUND!
Watch: How to make Ribbon Pakoda,https://recipes.timesofindia.com/videos/watch-how-to-make-ribbon-pakoda/videoshow/93578927.cms, <---------- KEYWORD FOUND!
Lebanese Garlic Sauce,https://recipes.timesofindia.com/recipes/lebanese-garlic-sauce/rs84466179.cms, <---------- KEYWORD FOUND!
Banana Cheela,https://recipes.timesofindia.com/recipes/banana-cheela/rs89586552.cms, <---------- KEYWORD FOUND!
Chamomile Milk,https://recipes.timesofindia.com/beverage/non-alcoholic/chamomile-milk/rs89584105.cms, <---------- KEYWORD FOUND!
Boondi Ke Laddoo,https://recipes.timesofindia.com/recipes/boondi-ke-laddoo/rs84608690.cms, <---------- KEYWORD FOUND!
Heart Choco Pops,https://recipes.timesofindia.com/recipes/heart-choco-pops/rs89561225.cms, <---------- KEYWORD FOUND!
